model,cv_roc_auc_mean,test_roc_auc,recall,precision,f1
Logistic Regression,0.7937354497354498,0.7692190476190476,0.48,0.6101694915254238,0.5373134328358209
Random Forest,0.7852486772486772,0.789295238095238,0.38666666666666666,0.6304347826086957,0.4793388429752066
XGBoost,0.7691428571428571,0.7768380952380952,0.44,0.55,0.4888888888888889
